id	册	章	raw页	tex行	类型	严重度	描述	状态	证据	commit
平面三角-21	平面三角	第7章	226	15294	图号跳号	中	图7·19（1–30 区间缺口）：因原图7·19被误录为图7·18导致假跳号，已纠正图号恢复连续性	已修	raw第226页（印221页）例1配图印刷为“图7·19”，已纠正恢复图7·19消除缺口	69a1234
平面三角-22	平面三角	第7章	232	15822	图号跳号	中	图7·27（1–30 区间缺口）：raw第232页（印227页）例4附图，原figure遗漏caption致图号丢失，已补齐caption{图7·27}	已修	raw第232页（印227页）例4附图实际印刷即为图7·27，原figure遗漏caption致母号丢失，已补齐	69a1234
平面三角-23	平面三角	第7章	235	16096	图号跳号	中	图7·31（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-24	平面三角	第7章	235	16096	图号跳号	中	图7·32（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-25	平面三角	第7章	235	16096	图号跳号	中	图7·33（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-26	平面三角	第7章	235	16096	图号跳号	中	图7·34（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-27	平面三角	第7章	235	16096	图号跳号	中	图7·35（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-28	平面三角	第7章	235	16096	图号跳号	中	图7·36（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-29	平面三角	第7章	235	16096	图号跳号	中	图7·37（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-30	平面三角	第7章	235	16096	图号跳号	中	图7·38（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-31	平面三角	第7章	235	16096	图号跳号	中	图7·39（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-32	平面三角	第7章	235	16096	图号跳号	中	图7·40（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-33	平面三角	第7章	235	16096	图号跳号	中	图7·41（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-34	平面三角	第7章	235	16096	图号跳号	中	图7·42（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-35	平面三角	第7章	235	16096	图号跳号	中	图7·43（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-36	平面三角	第7章	235	16096	图号跳号	中	图7·44（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-37	平面三角	第7章	235	16096	图号跳号	中	图7·45（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-38	平面三角	第7章	235	16096	图号跳号	中	图7·46（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-39	平面三角	第7章	235	16096	图号跳号	中	图7·47（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-40	平面三角	第7章	235	16096	图号跳号	中	图7·48（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-41	平面三角	第7章	235	16096	图号跳号	中	图7·49（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-42	平面三角	第7章	235	16096	图号跳号	中	图7·50（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-43	平面三角	第7章	235	16096	图号跳号	中	图7·51（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-44	平面三角	第7章	235	16096	图号跳号	中	图7·52（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-45	平面三角	第7章	235	16096	图号跳号	中	图7·53（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-46	平面三角	第7章	235	16096	图号跳号	中	图7·54（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-47	平面三角	第7章	235	16096	图号跳号	中	图7·55（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-48	平面三角	第7章	235	16096	图号跳号	中	图7·56（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-49	平面三角	第7章	235	16096	图号跳号	中	图7·57（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-50	平面三角	第7章	235	16096	图号跳号	中	图7·58（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-51	平面三角	第7章	235	16096	图号跳号	中	图7·59（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-52	平面三角	第7章	235	16096	图号跳号	中	图7·60（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-53	平面三角	第7章	235	16096	图号跳号	中	图7·61（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-54	平面三角	第7章	235	16096	图号跳号	中	图7·62（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-55	平面三角	第7章	235	16096	图号跳号	中	图7·63（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-56	平面三角	第7章	235	16096	图号跳号	中	图7·64（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-57	平面三角	第7章	235	16096	图号跳号	中	图7·65（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-58	平面三角	第7章	235	16096	图号跳号	中	图7·66（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-59	平面三角	第7章	235	16096	图号跳号	中	图7·67（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-60	平面三角	第7章	235	16096	图号跳号	中	图7·68（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-61	平面三角	第7章	235	16096	图号跳号	中	图7·69（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-62	平面三角	第7章	235	16096	图号跳号	中	图7·70（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-63	平面三角	第7章	235	16096	图号跳号	中	图7·71（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-64	平面三角	第7章	235	16096	图号跳号	中	图7·72（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-65	平面三角	第7章	235	16096	图号跳号	中	图7·73（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-66	平面三角	第7章	235	16096	图号跳号	中	图7·74（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-67	平面三角	第7章	235	16096	图号跳号	中	图7·75（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-68	平面三角	第7章	235	16096	图号跳号	中	图7·76（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-69	平面三角	第7章	235	16096	图号跳号	中	图7·77（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-70	平面三角	第7章	235	16096	图号跳号	中	图7·78（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-71	平面三角	第7章	235	16096	图号跳号	中	图7·79（1–30 虚报缺口）：第7章最后一图为本章提要图7·30，原TeX多余切图误录为图7·80致全章上限虚报并产生假跳号，已删除伪图7·80彻底闭环	已修	raw第235页（印230页）本章提要图7·30即为第7章最后一图，全章1–30连续无缺口，伪图7·80消除后跳号信号自然闭环	69a1234
平面三角-72	平面三角	第8章	247	17193	图号跳号	中	图8·7（1–13 区间缺口）：raw第247页（印242页）反余弦函数图，原录入误将数字8录为英文字母B成“图B·7”，已纠正为图8·7	已修	raw第247页（印242页）反余弦函数图印刷为“图8·7”，原录入误为“图B·7”，已纠正为图8·7	69a1234
平面几何（第一册）-73	平面几何（第一册）	第1章		1188,1213	图号重复	中	图1·22 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-74	平面几何（第一册）	第1章		1557,1573	图号重复	中	图1·28 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-75	平面几何（第一册）	第1章		460,475	图号重复	中	图1·4 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-76	平面几何（第一册）	第1章		1954,1979	图号重复	中	图1·40 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-77	平面几何（第一册）	第1章		2003,2045	图号重复	中	图1·41 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-78	平面几何（第一册）	第1章		2730,2789	图号重复	中	图1·57 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-79	平面几何（第一册）	第1章		3811,3850	图号重复	中	图1·72 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-80	平面几何（第一册）	第1章		4121,4157,4178	图号重复	中	图1·76 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-81	平面几何（第一册）	第2章		9973,10071	图号重复	中	图2·46 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-82	平面几何（第一册）	第3章		18373,18420	图号重复	中	图3·46 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-83	平面几何（第一册）	第3章		14873,14903	图号重复	中	图3·6 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-84	平面几何（第一册）	第4章		20801,20832	图号重复	中	图4·10 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-85	平面几何（第一册）	第4章		20166,20198	图号重复	中	图4·3 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-86	平面几何（第一册）	第4章		22452,22480	图号重复	中	图4·32 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-87	平面几何（第一册）	第4章		22855,22906	图号重复	中	图4·37 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-88	平面几何（第一册）	第4章		23288,23317,23341	图号重复	中	图4·38 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-89	平面几何（第一册）	第4章		20260,20287	图号重复	中	图4·4 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-90	平面几何（第一册）	第4章		24134,24166	图号重复	中	图4·47 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-91	平面几何（第一册）	第4章		24416,24461	图号重复	中	图4·51 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-92	平面几何（第一册）	第4章		24636,24665	图号重复	中	图4·53 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-93	平面几何（第一册）	第4章		24884,24911,24940	图号重复	中	图4·56 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-94	平面几何（第一册）	第4章		20403,20452	图号重复	中	图4·6 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-95	平面几何（第一册）	第4章		26087,26123	图号重复	中	图4·66 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-96	平面几何（第一册）	第4章		26387,26416	图号重复	中	图4·71 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-97	平面几何（第一册）	第4章		26602,26631	图号重复	中	图4·75 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-98	平面几何（第一册）	第4章		20604,20641	图号重复	中	图4·8 出现多次，须对照 raw 确认是分图共号还是编号错误	待核		-
平面几何（第一册）-99	平面几何（第一册）	第1章			图号跳号	中	图1·87（1–94 区间缺口）：正文如有引用则可能漏图，须对照 raw	待核		-
平面几何（第一册）-100	平面几何（第一册）	第3章			图号跳号	中	图3·38（1–51 区间缺口）：正文如有引用则可能漏图，须对照 raw	待核		-
