id	册	章	raw页	tex行	类型	严重度	描述	状态	证据	commit
OVER-45	物理（第二册）			22811	溢出	50.4pt	Overfull ≥10pt（50.41pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-46	代数（第二册）			21619	溢出	49.4pt	Overfull ≥10pt（49.37pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-47	代数（第四册）			14302	溢出	48.4pt	Overfull ≥10pt（48.43pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-48	平面几何（第二册）			23042	溢出	47.5pt	Overfull ≥10pt（47.52pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-49	化学（第四册）			2652	溢出	44.1pt	Overfull ≥10pt（44.09pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-50	立体几何			21959	溢出	44.0pt	Overfull ≥10pt（43.97pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-51	平面几何（第二册）			23041	溢出	42.8pt	Overfull ≥10pt（42.77pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-52	立体几何			22142	溢出	42.2pt	Overfull ≥10pt（42.21pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-53	代数（第四册）			16259	溢出	41.7pt	Overfull ≥10pt（41.74pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-54	平面几何（第二册）			16540	溢出	41.0pt	Overfull ≥10pt（41.00pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-55	代数（第四册）			?	溢出	39.9pt	Overfull ≥10pt（39.89pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-56	平面几何（第二册）			23040	溢出	39.7pt	Overfull ≥10pt（39.69pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-57	代数（第二册）			21616	溢出	38.9pt	Overfull ≥10pt（38.92pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-58	平面三角			21140	溢出	36.9pt	Overfull ≥10pt（36.89pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-59	代数（第二册）			21634	溢出	36.5pt	Overfull ≥10pt（36.52pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-60	化学（第四册）			2668	溢出	36.1pt	Overfull ≥10pt（36.12pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-61	代数（第二册）			21662	溢出	35.8pt	Overfull ≥10pt（35.78pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-62	代数（第二册）			21772	溢出	35.2pt	Overfull ≥10pt（35.15pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-63	化学（第四册）			12350	溢出	34.3pt	Overfull ≥10pt（34.30pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-64	化学（第二册）			9382	溢出	33.4pt	Overfull ≥10pt（33.42pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-65	化学（第三册）			1404	溢出	32.6pt	Overfull ≥10pt（32.60pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-66	平面几何（第二册）			21075	溢出	32.4pt	Overfull ≥10pt（32.39pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-67	代数（第二册）			21649	溢出	32.3pt	Overfull ≥10pt（32.28pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-68	代数（第三册）			26607	溢出	32.2pt	Overfull ≥10pt（32.24pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-69	化学（第二册）			9184	溢出	31.3pt	Overfull ≥10pt（31.31pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-70	化学（第三册）			1394	溢出	30.6pt	Overfull ≥10pt（30.63pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-71	平面几何（第一册）			6003	溢出	30.6pt	Overfull ≥10pt（30.63pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-72	代数（第二册）			21631	溢出	29.6pt	Overfull ≥10pt（29.59pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-73	平面三角			12856	溢出	29.0pt	Overfull ≥10pt（28.99pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-74	平面三角			15991	溢出	27.8pt	Overfull ≥10pt（27.75pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-75	物理（第二册）			21782	溢出	27.4pt	Overfull ≥10pt（27.42pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-76	物理（第二册）			21784	溢出	27.4pt	Overfull ≥10pt（27.42pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-77	物理（第二册）			21789	溢出	27.4pt	Overfull ≥10pt（27.42pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-78	化学（第二册）			9381	溢出	27.0pt	Overfull ≥10pt（26.99pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-79	代数（第二册）			18538	溢出	26.5pt	Overfull ≥10pt（26.53pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-80	物理（第二册）			22793	溢出	26.3pt	Overfull ≥10pt（26.32pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-81	代数（第三册）			20267	溢出	25.9pt	Overfull ≥10pt（25.92pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-82	代数（第三册）			20267	溢出	25.9pt	Overfull ≥10pt（25.92pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-83	代数（第一册）			9686	溢出	25.3pt	Overfull ≥10pt（25.29pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-84	平面三角			1969	溢出	25.3pt	Overfull ≥10pt（25.27pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-85	平面几何（第二册）			20259	溢出	25.1pt	Overfull ≥10pt（25.11pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-86	化学（第四册）			2651	溢出	24.8pt	Overfull ≥10pt（24.78pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-87	化学（第四册）			2656	溢出	24.8pt	Overfull ≥10pt（24.78pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-88	化学（第四册）			2662	溢出	24.8pt	Overfull ≥10pt（24.78pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-89	化学（第二册）			9381	溢出	22.5pt	Overfull ≥10pt（22.49pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-90	物理（第二册）			17427	溢出	22.3pt	Overfull ≥10pt（22.32pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-91	化学（第二册）			2978	溢出	22.3pt	Overfull ≥10pt（22.29pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-92	化学（第二册）			2981	溢出	22.3pt	Overfull ≥10pt（22.29pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-93	平面三角			23587	溢出	21.9pt	Overfull ≥10pt（21.87pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-94	立体几何			2912	溢出	21.5pt	Overfull ≥10pt（21.51pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-95	代数（第四册）			13848	溢出	20.0pt	Overfull ≥10pt（20.00pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-96	代数（第四册）			13827	溢出	19.6pt	Overfull ≥10pt（19.64pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-97	平面三角			14226	溢出	17.5pt	Overfull ≥10pt（17.48pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-98	代数（第二册）			21651	溢出	17.3pt	Overfull ≥10pt（17.28pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-99	代数（第三册）			17599	溢出	17.2pt	Overfull ≥10pt（17.16pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-100	物理（第三册）			27685	溢出	17.1pt	Overfull ≥10pt（17.12pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-101	平面三角			15901	溢出	15.8pt	Overfull ≥10pt（15.83pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-102	代数（第四册）			14361	溢出	15.6pt	Overfull ≥10pt（15.64pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-103	物理（第二册）			7970	溢出	15.6pt	Overfull ≥10pt（15.58pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-104	物理（第二册）			17426	溢出	14.6pt	Overfull ≥10pt（14.61pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-105	物理（第三册）			34383	溢出	14.5pt	Overfull ≥10pt（14.46pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-106	物理（第二册）			22786	溢出	14.1pt	Overfull ≥10pt（14.09pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-107	物理（第二册）			22790	溢出	14.1pt	Overfull ≥10pt（14.09pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-108	物理（第二册）			22796	溢出	14.1pt	Overfull ≥10pt（14.09pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-109	物理（第二册）			22803	溢出	14.1pt	Overfull ≥10pt（14.09pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-110	物理（第二册）			22808	溢出	14.1pt	Overfull ≥10pt（14.09pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-111	物理（第二册）			22813	溢出	14.1pt	Overfull ≥10pt（14.09pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-112	平面解析几何			6043	溢出	13.9pt	Overfull ≥10pt（13.87pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-113	平面三角			14459	溢出	13.5pt	Overfull ≥10pt（13.51pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-114	平面几何（第二册）			12298	溢出	13.3pt	Overfull ≥10pt（13.30pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-115	平面解析几何			23085	溢出	12.9pt	Overfull ≥10pt（12.90pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-116	化学（第四册）			5620	溢出	12.9pt	Overfull ≥10pt（12.87pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-117	平面三角			18323	溢出	12.2pt	Overfull ≥10pt（12.20pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-118	平面三角			18325	溢出	12.1pt	Overfull ≥10pt（12.08pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-119	物理（第二册）			17427	溢出	11.6pt	Overfull ≥10pt（11.56pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-120	物理（第二册）			17428	溢出	11.6pt	Overfull ≥10pt（11.56pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-121	物理（第二册）			22790	溢出	11.3pt	Overfull ≥10pt（11.28pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-122	物理（第二册）			22796	溢出	11.3pt	Overfull ≥10pt（11.28pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-123	物理（第二册）			22803	溢出	11.3pt	Overfull ≥10pt（11.28pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-124	物理（第二册）			22808	溢出	11.3pt	Overfull ≥10pt（11.28pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-125	物理（第二册）			22813	溢出	11.3pt	Overfull ≥10pt（11.28pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-126	代数（第四册）			17545	溢出	11.0pt	Overfull ≥10pt（11.00pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-127	化学（第四册）			2646	溢出	10.9pt	Overfull ≥10pt（10.86pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-128	化学（第四册）			9735	溢出	10.6pt	Overfull ≥10pt（10.60pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
